Model,Feature_details,RMSE,R^2_train,R^2_test,4_Fold_Validation,5_Fold_Validation,Note
Multiple Linear Regression,"['TM', 'DCA', 'PT', 'E']",2.5944930834629902,0.2270695805735773,-0.05704336219362127,-0.8639870371380476,-0.8246733599135073,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TM', 'DCA', 'SD', 'E']",2.6045080424990315,0.20070348112249803,-0.06521966293933978,-0.8453217018108152,-0.8028277844473439,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TM', 'PT', 'SD', 'E']",2.595717438339415,0.22651925208138401,-0.05804124619055839,-0.8763224609272873,-0.8344595274204016,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['F', 'PCA', 'DCA', 'PT']",2.285103110835535,0.17520419352826166,0.18002734039964086,0.1654323958862303,0.17005498958748747,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['F', 'PCA', 'DCA', 'SD']",2.3288416372915073,0.14552477541729214,0.1483371895850164,0.13463618978504005,0.1399357014912591,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['F', 'PCA', 'DCA', 'E']",2.744630716247355,0.15752117181941716,-0.18292063466658193,-0.9836212541363402,-0.982797655672789,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['F', 'PCA', 'PT', 'SD']",2.286936905450692,0.1732759105073962,0.17871075666688396,0.16402502616787426,0.16860062304819728,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['F', 'PCA', 'PT', 'E']",2.7294149536233663,0.1859008250361721,-0.16984117178841518,-1.0245781936066842,-1.0206793442822946,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['F', 'PCA', 'SD', 'E']",2.751579381356878,0.15623110184138078,-0.18891788912381968,-1.0146384454388677,-1.010031033931832,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['F', 'DCA', 'PT', 'SD']",2.4671016116475766,0.04863721794016407,0.04421140754295605,0.0356376415089735,0.042502871377476395,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['F', 'DCA', 'PT', 'E']",3.34054349487708,0.0767623512256943,-0.7523547509998838,-2.360215859068929,-2.340546204188826,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['F', 'DCA', 'SD', 'E']",3.366768892162973,0.040939248446185794,-0.7799769581897458,-2.3943595258921446,-2.3644890466875985,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['F', 'PT', 'SD', 'E']",3.3314078839845442,0.07802030994963349,-0.7427832899743914,-2.3456281650096122,-2.318880554736524,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['PCA', 'DCA', 'PT', 'SD']",2.2852507556528807,0.1728442203025179,0.1799213770196162,0.16488317739746625,0.16829459728607335,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['PCA', 'DCA', 'PT', 'E']",2.7280903600714423,0.18553795360772496,-0.1687059922022247,-1.0174343662111107,-1.004330188169196,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['PCA', 'DCA', 'SD', 'E']",2.7520433753656284,0.15528080900025576,-0.18931889321124618,-1.0121771533265274,-0.9985568248655643,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['PCA', 'PT', 'SD', 'E']",2.7362391715548275,0.1839088390859993,-0.17569827398536075,-1.051438106753797,-1.0349828161084216,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['DCA', 'PT', 'SD', 'E']",3.3559589941182644,0.07270321588680284,-0.7685651385408672,-2.4389464513011534,-2.3694712934184237,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'TM', 'F', 'PCA', 'DCA']",2.1597148003519107,0.2295041044424978,0.2675456243715526,0.22733549133093697,0.22966748535986445,"Test_Size = 0.2, Number_Feature = 5"
Multiple Linear Regression,"['TS', 'TM', 'F', 'PCA', 'PT']",2.1318922704846264,0.24983596781645157,0.2862957567517024,0.248391248831935,0.250352466754041,"Test_Size = 0.2, Number_Feature = 5"
